model,mid_depth_m,thickness_m,initial_shear_modulus_mpa,post_cyclic_proxy_shear_modulus_mpa,relative_modulus
constant_suction,0.5,1.0,87.0,87.0,1.0
constant_suction,1.5,1.0,91.0,91.0,1.0
constant_suction,2.5,1.0,95.0,95.0,1.0
constant_suction,3.5,1.0,99.0,99.0,1.0
constant_suction,4.5,1.0,103.0,103.0,1.0
constant_suction,5.5,1.0,107.0,107.0,1.0
constant_suction,6.5,1.0,111.0,111.0,1.0
constant_suction,7.5,1.0,115.0,115.0,1.0
constant_suction,8.5,1.0,119.0,119.0,1.0
constant_suction,9.5,1.0,123.0,123.0,1.0
full_hysteretic_damage,0.5,1.0,87.0,70.99713238795346,0.8160589929649823
full_hysteretic_damage,1.5,1.0,91.0,74.26136835981337,0.8160589929649822
full_hysteretic_damage,2.5,1.0,95.0,77.5256043316733,0.8160589929649822
full_hysteretic_damage,3.5,1.0,99.0,80.78984030353324,0.8160589929649822
full_hysteretic_damage,4.5,1.0,103.0,84.05407627539317,0.8160589929649823
full_hysteretic_damage,5.5,1.0,107.0,87.31831224725309,0.8160589929649822
full_hysteretic_damage,6.5,1.0,111.0,90.58254821911302,0.8160589929649822
full_hysteretic_damage,7.5,1.0,115.0,93.84678419097295,0.8160589929649822
full_hysteretic_damage,8.5,1.0,119.0,97.11102016283289,0.8160589929649822
full_hysteretic_damage,9.5,1.0,123.0,100.3752561346928,0.8160589929649822
hysteresis_only,0.5,1.0,87.0,86.99999999999997,0.9999999999999997
hysteresis_only,1.5,1.0,91.0,90.99999999999997,0.9999999999999997
hysteresis_only,2.5,1.0,95.0,94.99999999999997,0.9999999999999997
hysteresis_only,3.5,1.0,99.0,98.99999999999997,0.9999999999999997
hysteresis_only,4.5,1.0,103.0,102.99999999999997,0.9999999999999998
hysteresis_only,5.5,1.0,107.0,106.99999999999996,0.9999999999999996
hysteresis_only,6.5,1.0,111.0,110.99999999999996,0.9999999999999997
hysteresis_only,7.5,1.0,115.0,114.99999999999996,0.9999999999999997
hysteresis_only,8.5,1.0,119.0,118.99999999999996,0.9999999999999997
hysteresis_only,9.5,1.0,123.0,122.99999999999996,0.9999999999999997
no_hysteresis,0.5,1.0,87.0,86.99999999999997,0.9999999999999997
no_hysteresis,1.5,1.0,91.0,90.99999999999997,0.9999999999999997
no_hysteresis,2.5,1.0,95.0,94.99999999999997,0.9999999999999997
no_hysteresis,3.5,1.0,99.0,98.99999999999997,0.9999999999999997
no_hysteresis,4.5,1.0,103.0,102.99999999999997,0.9999999999999998
no_hysteresis,5.5,1.0,107.0,106.99999999999996,0.9999999999999996
no_hysteresis,6.5,1.0,111.0,110.99999999999996,0.9999999999999997
no_hysteresis,7.5,1.0,115.0,114.99999999999996,0.9999999999999997
no_hysteresis,8.5,1.0,119.0,118.99999999999996,0.9999999999999997
no_hysteresis,9.5,1.0,123.0,122.99999999999996,0.9999999999999997
