source,point_id,initial_degree_saturation_mean,initial_degree_saturation_range,volumetric_strain_pct_mean,volumetric_strain_pct_range,n_replicates
Kinikles et al. 2024 Figure 12(a),K2024-F12a-01,0.0,0.0154241645244214,1.1076388888888888,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-02,0.0,0.0154241645244214,0.2847222222222222,0.1527777777777778,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-03,0.1192802056555269,0.015424164524421385,1.1041666666666667,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-04,0.1197943444730077,0.015424164524421385,0.8229166666666666,0.1527777777777779,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-05,0.1197943444730077,0.015424164524421385,0.4375,0.15277777777777773,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-06,0.1197943444730077,0.015424164524421385,0.3125,0.1527777777777778,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-07,0.20925449871465288,0.015424164524421413,1.2986111111111112,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-08,0.20925449871465288,0.015424164524421413,1.2430555555555556,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-09,0.20925449871465288,0.015424164524421413,0.6041666666666666,0.1527777777777779,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-10,0.20925449871465288,0.015424164524421413,0.4930555555555556,0.15277777777777773,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-11,0.3043701799485861,0.015424164524421413,1.6354166666666667,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-12,0.3043701799485861,0.015424164524421413,1.5659722222222223,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-13,0.3043701799485861,0.015424164524421413,0.6909722222222222,0.1527777777777779,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-14,0.3043701799485861,0.015424164524421413,0.4444444444444444,0.15277777777777773,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-15,0.4051413881748071,0.015424164524421413,1.8715277777777777,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-16,0.4056555269922879,0.015424164524421413,1.5729166666666667,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-17,0.4056555269922879,0.015424164524421413,0.7534722222222222,0.1527777777777779,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-18,0.4056555269922879,0.015424164524421413,0.6840277777777778,0.1527777777777779,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-19,0.5660668380462726,0.015424164524421302,1.6840277777777777,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-20,0.5650385604113111,0.015424164524421302,1.5069444444444444,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-21,0.5650385604113111,0.015424164524421302,0.65625,0.15277777777777768,3
Kinikles et al. 2024 Figure 12(a),K2024-F12a-22,0.5681233933161953,0.015424164524421302,0.6215277777777778,0.1527777777777779,3
