initial_degree_saturation,weight_variant,plastic_weight,stiffness_weight,damage_weight,hmai_value,phase_class,matches_base_phase_class
0.0,base,0.4,0.3,0.3,0.85,dominant,True
0.0,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333333,dominant,True
0.0,deformation_heavy,0.6,0.2,0.2,0.9,dominant,True
0.0,stiffness_heavy,0.25,0.5,0.25,0.875,dominant,True
0.0,damage_heavy,0.25,0.25,0.5,0.75,dominant,True
0.12,base,0.4,0.3,0.3,0.85,dominant,True
0.12,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333333,dominant,True
0.12,deformation_heavy,0.6,0.2,0.2,0.9,dominant,True
0.12,stiffness_heavy,0.25,0.5,0.25,0.875,dominant,True
0.12,damage_heavy,0.25,0.25,0.5,0.75,dominant,True
0.2,base,0.4,0.3,0.3,0.85,dominant,True
0.2,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333333,dominant,True
0.2,deformation_heavy,0.6,0.2,0.2,0.9,dominant,True
0.2,stiffness_heavy,0.25,0.5,0.25,0.875,dominant,True
0.2,damage_heavy,0.25,0.25,0.5,0.75,dominant,True
0.3,base,0.4,0.3,0.3,0.850008610322647,dominant,True
0.3,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333429003584967,dominant,True
0.3,deformation_heavy,0.6,0.2,0.2,0.900005740215098,dominant,True
0.3,stiffness_heavy,0.25,0.5,0.25,0.8750071752688725,dominant,True
0.3,damage_heavy,0.25,0.25,0.5,0.750014350537745,dominant,True
0.4,base,0.4,0.3,0.3,0.84794593645331,dominant,True
0.4,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8319205294509071,dominant,True
0.4,deformation_heavy,0.6,0.2,0.2,0.8960221574605186,dominant,True
0.4,stiffness_heavy,0.25,0.5,0.25,0.8739403970881805,dominant,True
0.4,damage_heavy,0.25,0.25,0.5,0.7498371443076268,dominant,True
0.56,base,0.4,0.3,0.3,0.8270753767491739,dominant,True
0.56,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8156931063575105,dominant,True
0.56,deformation_heavy,0.6,0.2,0.2,0.8612221879241636,dominant,True
0.56,stiffness_heavy,0.25,0.5,0.25,0.8617698297681329,dominant,True
0.56,damage_heavy,0.25,0.25,0.5,0.74116070696773,dominant,True
