script,returncode,elapsed_s,stdout,stderr
"run_unsat_cyclic_benchmark.py",0,6.805,"rows=155520 | summary_rows=216 | supplementary_folder=supplementary_unsat_cyclic_benchmark",""
"hydro_validation_envelope.py",0,4.254,"hydro_validation_envelope=ok",""
"external_zenodo_clay_range_check.py",0,2.333,"zenodo_italian_clays_range_check=ok rows=5 raw_rows=2999",""
"external_ng2013_resilient_modulus_check.py",0,0.933,"ng2013_resilient_modulus_semiquant_checks=ok rows=4",""
"external_ng2013_semicalibrated_envelope.py",0,0.907,"ng2013_semicalibrated_envelope=ok rows=7",""
"external_gabr2019_unsaturated_triaxial_holdout.py",0,0.833,"gabr2019_unsaturated_triaxial_holdout=ok rows=86 train=66 holdout=20",""
"external_kinikles2024_cyclic_simple_shear_gate.py",0,0.851,"kinikles2024_cyclic_gate=ok rows=11 missing_figures=0",""
"external_kinikles2024_fig12a_digitized_envelope.py",0,1.128,"kinikles2024_fig12a_digitized_envelope=ok points=22 groups=6",""
"external_kinikles2024_fig12a_blind_holdout.py",0,1.045,"kinikles2024_fig12a_blind_holdout=ok targets=2 groups=6",""
"external_kinikles2024_model_output_transfer_holdout.py",0,1.235,"kinikles2024_model_output_transfer_holdout=ok targets=2 groups=6",""
"external_chen2024_supplementary_calibration_audit.py",0,0.896,"chen2024_supplementary_audit=ok tables=7 sparc_cases=7",""
"external_rong_mccartney_cyclic_program_audit.py",0,0.956,"rong_mccartney_cyclic_program_audit=ok undrained=12 drained=16",""
"external_rong_mccartney_200cycle_digitized_check.py",0,2.746,"rong_mccartney_200cycle_digitized_check=ok rows=6",""
"external_rong_mccartney_drained_amplitude_digitized_gate.py",0,2.306,"rong_mccartney_drained_amplitude_gate=ok rows=20 groups=4",""
"external_rong_mccartney_200cycle_residual_diagnostics.py",0,2.074,"rong_mccartney_200cycle_residual_diagnostics=ok groups=6 spearman=-0.486",""
"boundary_1d_hydraulic_memory_proxy.py",0,1.009,"boundary_1d_hydraulic_memory_proxy=ok cases=4 layers=10",""
"parameter_identifiability_sensitivity.py",0,0.994,"parameter_identifiability_sensitivity=ok outputs=3 predictors=2",""
"hydraulic_memory_amplification_index.py",0,0.747,"hydraulic_memory_amplification_index=ok rows=54",""
"hydraulic_memory_number_transition.py",0,0.804,"hydraulic_memory_number_transition=ok cases=54 phases={'dominant': 27, 'relevant': 21, 'negligible': 6}",""
"plot_hmai_heatmap.py",0,1.114,"hmai_phase_map=ok path=figures\fig20_hmai_heatmap.png",""
"mathematical_invariants_audit.py",0,1.644,"mathematical_invariants=ok checks=10 failures=0",""
"algorithmic_dissipation_audit.py",0,1.786,"algorithmic_dissipation=ok checks=1296 failures=0",""
"theoretical_admissibility_tests.py",0,1.571,"theoretical_admissibility_tests=ok rows=13 failures=0",""
"external_cross_source_consistency_audit.py",0,2.057,"external_cross_source_consistency=ok checks=6 score=0.917",""
"external_validation_scorecard.py",0,0.870,"external_validation_scorecard=ok layers=8 mean=0.726",""
"external_baseline_comparison_scorecard.py",0,2.166,"external_baseline_comparison=ok rows=8 targets=2",""
"external_locked_validation_protocol.py",0,1.939,"external_locked_validation_protocol=ok metrics=5 locked_predictions=6",""
"external_validation_protocol.py",0,0.921,"external_validation_protocol=ok points=12 class_agreement=1.000",""
"hmai_external_validation_and_sensitivity.py",0,2.206,"hmai_external_validation_and_sensitivity=ok paired=6 weights=5",""
"refresh_manifest_sha256.py",0,1.331,"refresh_manifest_sha256=ok files=186",""
"software_validation.py",0,2.003,"software_validation=ok",""
